idx,persona_text,age,source_config,strict_reject_reasons,llm_label,llm_confidence,llm_reason,age_refined,age_refine_confidence,age_refine_reason
21697,a middle school student from Uganda,12.0,persona,[],yes,100,explicitly described as a middle school student,12.0,,
43752,a rebellious middle school student who is uninterested in learning about extinct creatures,12.0,persona,[],yes,100,explicitly described as a middle school student,12.0,,
124609,A creative middle schooler who has started a cooking vlog using the new kitchen,12.0,persona,[],yes,100,Persona is explicitly described as a middle schooler,12.0,,
17374,A curious middle school student who is fascinated by rocks and minerals,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
23313,A middle school student seeking guidance on how to improve their computer skills for school assignments,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
134631,A curious middle school student fascinated by the tales of King Arthur,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
148450,A shy but imaginative middle schooler who is looking for a captivating adventure novel to read,12.0,persona,[],yes,100,Explicitly described as a middle schooler,12.0,,
173385,A student at Mountain Logan Middle School (MLMS),12.0,persona,[],yes,100,Explicitly mentioned as a middle school student,12.0,,
26653,An ambitious 7th grade student who loves to learn but struggles with dyscalculia,12.0,persona,[],yes,100,7th grade is a typical middle school grade level,12.0,,
36766,an Israeli student attending Stephen Lewis Secondary School,12.0,persona,[],yes,100,attending a secondary school,12.0,,
125281,A middle school student who dislikes mathematics.,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
191922,A fellow middle school dancer who also wears braces and shares tips and advice on how to maintain oral hygiene and confidence,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
8382,a 13-year-old middle school student who is neither particularly interested in poetry nor deeply versed on who Annelyse Gelman is.,13.0,persona,[],yes,100,Explicitly described as a 13-year-old middle school student,13.0,,
37896,a South Korean middle school student who is a history nerd,12.0,persona,[],yes,100,explicitly described as a middle school student,12.0,,
104718,A bright and curious middle schooler struggling with reading comprehension,12.0,persona,[],yes,100,Explicitly described as a middle schooler,12.0,,
192817,A creative writing enthusiast in middle school who enjoys crafting stories and sometimes struggles with math homework,12.0,persona,[],yes,100,Explicitly mentioned as being in middle school,12.0,,
18769,A keen middle school student working on a project about famous architects in history,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
149329,A middle school student who attends the coding workshops and looks up to the advocate as a role model,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
192879,A curious middle school student who loves snakes and researching animals on Wikipedia.,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
74499,A shy and quiet middle school student who is always grateful for the bus driver's kind gestures,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
106024,A curious and science-minded middle school student who appreciates the nurse's informative and engaging presentations on health and wellness,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
38352,An inquisitive middle school student joining the science club for the first time,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
87874,A Japanese middle school student who is a big fan of Super Sentai.,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
164851,A bright middle schooler who voraciously reads science fiction and conducts small experiments in their spare time,12.0,persona,[],yes,100,Explicitly described as a middle schooler,12.0,,
28109,A precocious middle school student benefiting from the sibling's guidance and support,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
97625,A middle school student interested in genetic genealogy and exploring their Irish heritage,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
47951,A middle school soccer player who is learning the importance of safety gear and fair play,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
166500,Another middle school student who is also struggling with coding assignments and seeks collaboration with the middle school student,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
195641,A middle school student excited about earth sciences and participating in the school's science fair with a volcano project,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
29945,A middle school band member interested in learning a variety of percussion instruments,12.0,persona,[],yes,100,Explicitly mentioned as a middle school band member,12.0,,
66135,A shy middle schooler with a hidden knack for strategic thinking and chess,12.0,persona,[],yes,100,Explicitly described as a middle schooler,12.0,,
90612,A middle school student who aspires to be a nurse and seeks guidance on how to start their journey,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
112135,A middle school student who is obsessed with freshwater aquariums and often daydreams about discovering new species.,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
122372,A curious middle school student who loves playing strategy games based on ancient civilizations,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
20456,"A middle schooler struggling with attention and behavior issues, benefiting from personalized interventions",12.0,persona,[],yes,100,Explicitly described as a middle schooler,12.0,,
53014,A middle school student who aspires to beat their grandparent in a game of chess,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
90719,A curious middle school student who loves learning about aerodynamics and helps their grandparent with building model airplanes,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
122827,a middle school student who loves reading books about animals and history,12.0,persona,[],yes,100,explicitly described as a middle school student,12.0,,
144183,"a secondary school student in Delta State, Nigeria",12.0,persona,[],yes,100,Explicitly described as a secondary school student,12.0,,
197487,A middle school student who participated in building the arcade machine,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
53203,7th grade student in a computer science class,12.0,persona,[],yes,100,"Explicitly mentioned as a 7th grade student, which is typically part of middle school",12.0,,
90818,A middle school student currently working on a science fair project about the water cycle,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
114465,A fellow middle school student from another country who shares their experiences and challenges in expressing empathy,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
155660,Non-English speaking middle school student struggling to learn English,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
41399,"a middle school student who loves music, movies, and television shows.",12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
53699,A group of enthusiastic middle school students eager to learn about human evolution,12.0,persona,[],yes,100,Explicitly described as middle school students,12.0,,
131821,A curious middle school student from India studying for a history test,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
184367,a fourth-grade student at the Northeast Middle School,12.0,persona,[],yes,100,Fourth grade is typically part of middle school in many educational systems,12.0,,
5301,a middle school student who has just started learning history in school.,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
20845,A middle schooler with severe allergies who relies on the school nurse for emergency care,12.0,persona,[],yes,100,Explicitly described as a middle schooler,12.0,,
