idx,persona_text,age,source_config,strict_reject_reasons,llm_label,llm_confidence,llm_reason,age_refined,age_refine_confidence,age_refine_reason
7156,A curious elementary school student who eagerly awaits the next story on their daily bus ride,8.0,persona,[],yes,100,Persona is described as an elementary school student,8.0,,
27701,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,8.0,persona,[],yes,100,Explicitly described as elementary school students,8.0,,
121646,I am a curious elementary school student who has just learned about millipedes in science class and is fascinated by all kinds of bugs.,8.0,persona,[],yes,100,Persona explicitly states they are an elementary school student,8.0,,
144282,An elementary school student who looks forward to watching the weather report every day,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student,8.0,,
147945,An elementary school student who shares their favorite pop songs with the principal and asks for recommendations,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student,8.0,,
6312,A curious elementary school student who looks forward to meeting the author and asking questions about their books,8.0,persona,[],yes,100,Persona is described as an elementary school student,8.0,,
119552,A curious elementary school student in need of help with math and science homework,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student,8.0,,
150806,A 3rd grade biology enthusiast,8.0,persona,[],yes,100,3rd grade is a primary school level,8.0,,
181586,A primary school student who eagerly provides input and suggestions for story development,8.0,persona,[],yes,100,Persona is explicitly described as a primary school student,8.0,,
11554,A 10-year-old child with autism spectrum disorder who benefits from occupational therapy to improve their motor skills,10.0,persona,[],yes,100,"The persona is a 10-year-old child, which falls within the primary school age range.",10.0,,
79009,A local elementary school student who is part of a gardening club and looks up to the urban gardening enthusiast as a mentor,8.0,persona,[],yes,100,Persona is described as an elementary school student,8.0,,
103514,A 6-year-old child who experienced a traumatic event and is in need of therapy,6.0,persona,[],yes,100,age 6 is within primary school range,6.0,,
111764,A quiet 5-year-old child who has just discovered the magic of picture books,5.0,persona,[],yes,100,"age 5, likely in preschool or kindergarten",5.0,,
99486,A group of elementary school students whose behaviors and academic performance are observed in different classroom setups,8.0,persona,[],yes,100,Explicitly described as elementary school students,8.0,,
114126,A 7-year-old kid excited about meeting the Governor,7.0,persona,[],yes,100,age 7 is within primary school range,7.0,,
150937,An 8-year-old child who is excited to learn skiing for the first time,8.0,persona,[],yes,100,age 8 is within primary school range,8.0,,
153886,A 10-year-old book lover who inspired to write their own children's story,10.0,persona,[],yes,100,Age 10 is within the primary school range,10.0,,
170391,a 5-year-old child who loves to watch cooking shows and pretend to be a chef.,5.0,persona,[],yes,100,"age 5 is within primary school range, likely in kindergarten",5.0,,
175507,A 10-year-old child who struggles with reading and has a low interest in books,10.0,persona,[],yes,100,"The persona is a 10-year-old child, which falls within the primary school age range.",10.0,,
199408,A preschooler who shows a natural inclination towards music and has a strong interest in learning the violin,3.0,persona,[],yes,100,"Persona is a preschooler, which falls under primary school age",3.0,,
4283,A shy and anxious elementary school student who is afraid of needles and medical procedures,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student,8.0,,
36345,"A nature-loving elementary school student who dreams of a city filled with grass, trees, and playgrounds",8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student,8.0,,
116531,A elementary school student currently learning about how communication has evolved over time,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student,8.0,,
188617,An 11-year-old kid who can't get enough of the 'Phoebe and Her Unicorn' series.,11.0,persona,[],yes,100,age 11 is within primary school range,11.0,,
69618,A 5-year-old child who shares their enthusiasm for bugs and loves catching them in the garden,5.0,persona,[],yes,100,"Age 5 is typical for kindergarten or preschool, which is part of primary school education",5.0,,
99544,A playful elementary school student who loves outdoor activities but often forgets to wash his hands,8.0,persona,[],yes,100,Persona is described as an elementary school student,8.0,,
175514,a Taiwanese elementary school student who loves playing tennis and is a fan of the Chan sisters,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student,8.0,,
31680,A 9-year-old child who requires multiple orthopedic surgeries due to a congenital condition,9.0,persona,[],yes,100,age 9 is within primary school range,9.0,,
87721,A 6-year-old child with anxiety and social communication difficulties,6.0,persona,[],yes,100,age 6 is within primary school range,6.0,,
166888,An imaginative elementary school student with a pet iguana and a love for adventure stories,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student,8.0,,
87051,An eager 7-year old boy who enjoys reading more than playing video games,7.0,persona,[],yes,100,age 7 is within primary school range,7.0,,
113455,A cheerful and outgoing child who befriends the shy preschooler and helps them feel more comfortable,3.0,persona,[],yes,100,"Persona is described as a child who befriends a preschooler, indicating they are also in a similar early educational level.",3.0,,
143476,A preschooler who loves being read to and discusses the pictures in the books,3.0,persona,[],yes,100,"Persona is a preschooler, which falls under primary school category",3.0,,
83839,A shy and anxious preschooler who is struggling with separation anxiety,3.0,persona,[],yes,100,Persona is described as a preschooler,3.0,,
135409,A timid 8-year-old child who is afraid of the water but eager to learn swimming,8.0,persona,[],yes,100,age 8 is within primary school range,8.0,,
163845,A primary school student who serves as the first reader and critic of every new book,8.0,persona,[],yes,100,Persona is explicitly described as a primary school student,8.0,,
26671,A curious and enthusiastic elementary school student who loves asking questions about the human body and how it works,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student,8.0,,
59699,An 8-year-old Sudanese child who received healthcare from the EMERGENCY Peadiatric Clinic in Port Sudan.,8.0,persona,[],yes,100,Age 8 is within primary school range,8.0,,
107870,An elementary school student who just started a project on plant life cycles and ecology,8.0,persona,[],yes,100,Persona is described as an elementary school student,8.0,,
179253,A 10-year-old child who actively participates in school debates and is learning the importance of peaceful conflict resolution,10.0,persona,[],yes,100,"The persona is a 10-year-old child, which falls within the primary school age range.",10.0,,
149509,An elementary school student who is motivated to read in order to earn rewards at the local business,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student,8.0,,
94388,"A 10-year-old, dinosaur-obsessed kid",10.0,persona,[],yes,100,Age 10 is within primary school range,10.0,,
175696,A curious 7-year-old who loves reading and immerses herself in the vibrant world of picture books,7.0,persona,[],yes,100,Age 7 is within primary school range and picture books are typical for this age group,7.0,,
