idx,persona_text,age,source_config,strict_reject_reasons,llm_label,llm_confidence,llm_reason,age_refined,age_refine_confidence,age_refine_reason
110666,A local credit counselor who offers advice and resources to help the college freshman navigate the world of credit,18.0,persona,[],yes,100,"Persona is described as a 'college freshman', indicating they are a first-year university student",18.0,,
169149,a freshman student recently accepted to the South Carolina Honors College,18.0,persona,[],yes,100,explicitly described as a freshman student,18.0,,
21547,"a young Japanese university student studying abroad who is a fan of Haruka Ito and her dog, Chobi",18.0,persona,[],yes,80,described as a university student with no indication of being beyond the first year,18.0,,
65428,a freshman business student at Oakland University.,18.0,persona,[],yes,100,explicitly described as a freshman university student,18.0,,
106473,a university student benefiting from the Fees Free policy in New Zealand,18.0,persona,[],yes,90,Fees Free policy typically applies to first-year students,18.0,,
135243,A university freshman who navigated through high school with help from the counselor and is now studying social work,18.0,persona,[],yes,100,Persona is explicitly described as a university freshman,18.0,,
183075,a first-year economy student at a less competitive college who initially chose the program out of impulsion.,18.0,persona,[],yes,100,Persona is explicitly described as a first-year student,18.0,,
186034,a college freshman who loved photography and was close friends with Dylan Pietrs.,18.0,persona,[],yes,100,Persona is explicitly described as a college freshman,18.0,,
28250,a freshman student enrolled at Canisius College who is a dedicated fan of the Golden Griffins men's ice hockey team.,18.0,persona,[],yes,100,Explicitly described as a freshman student at a college,18.0,,
52805,a freshman studying at Penn State Behrend university,18.0,persona,[],yes,100,Persona is explicitly described as a freshman at a university,18.0,,
141773,a freshman college student who just started following college baseball closely,18.0,persona,[],yes,100,explicitly described as a freshman college student,18.0,,
178319,A freshman music student who just got accepted into St. Mary’s University in San Antonio.,18.0,persona,[],yes,100,Explicitly described as a freshman university student,18.0,,
183170,a freshman majoring in linguistics at Ternopil Volodymyr Hnatiuk National Pedagogical University,18.0,persona,[],yes,100,explicitly described as a freshman,18.0,,
199048,A freshman student who just joined Troy University and doesn't understand basketball,18.0,persona,[],yes,100,Persona is explicitly described as a freshman student,18.0,,
65578,a first-year university student who just completed a course in number theory.,18.0,persona,[],yes,100,Persona is explicitly described as a first-year university student,18.0,,
69617,A freshman studying sociology at Estrella Mountain Community College,18.0,persona,[],yes,100,Persona is explicitly described as a freshman at a community college,18.0,,
100034,university freshman interested in cross-disciplinary studies,18.0,persona,[],yes,100,explicitly described as a university freshman,18.0,,
106490,"an overly anxious, cautious, and health-conscious student studying at Bluegrass Community and Technical College (BCTC).",18.0,persona,[],yes,90,"studying at a community college implies a higher-education program, but age is not explicitly stated, assuming typical community college enrollment age",18.0,,
186472,an enthused freshman student at the University of Worcester,18.0,persona,[],yes,100,explicitly described as a freshman student,18.0,,
23314,"a young, aspiring Korean actor currently studying at the same Chung-Ang University, Department of Theater and Film, that Nam Gi-ae attended.",18.0,persona,[],yes,90,"currently studying at university, implies first-year due to age and recent enrollment",18.0,,
65782,a first-year college student who is timid and anxious about situations that involve big crowds and strangers,18.0,persona,[],yes,100,Persona is explicitly described as a first-year college student,18.0,,
107068,a university student who's just turned 18 and is going to vote for the first time,18.0,persona,[],yes,100,"18-year-old university student, likely a freshman",18.0,,
111787,an undecided freshman at the University of Georgia,18.0,persona,[],yes,100,explicitly described as a freshman at a university,18.0,,
147600,a university freshman who is planning to apply for student loans,18.0,persona,[],yes,100,Persona is explicitly described as a university freshman,18.0,,
152528,A freshman track athlete at Amherst College who gets intimidated easily,18.0,persona,[],yes,100,Described as a freshman at Amherst College,18.0,,
174315,A first-year university student who values honesty and integrity in academics.,18.0,persona,[],yes,100,Persona is explicitly described as a first-year university student,18.0,,
33565,A college freshman volunteering in social work inspired by early education experiences,18.0,persona,[],yes,100,Persona is explicitly described as a college freshman,18.0,,
40183,An international student from India enrolled at the University of King's College,18.0,persona,[],yes,90,"enrolled at university, likely first-year due to lack of information suggesting otherwise",18.0,,
44203,A college freshman who struggles with distinguishing reliable information from misinformation online,18.0,persona,[],yes,100,Persona is explicitly described as a college freshman,18.0,,
58530,"A first-year college student majoring in engineering, struggling with calculus",18.0,persona,[],yes,100,Explicitly described as a first-year college student,18.0,,
77670,A first-year student in Bioengineering at Imperial College London,18.0,persona,[],yes,100,Clearly described as a first-year university student,18.0,,
183507,"a freshman studying at the American University Washington, DC",18.0,persona,[],yes,100,explicitly described as a freshman,18.0,,
29065,"A college freshman enrolled in an archaeology course, inspired by the stories of past civilizations",18.0,persona,[],yes,100,Persona is explicitly described as a college freshman,18.0,,
107780,"A freshman student of Brock University studying online from her home country, India.",18.0,persona,[],yes,100,Explicitly described as a freshman student at a university,18.0,,
143216,"I am a freshman at Utah Tech University, enthusiastic about football, and deeply involved in school spirit.",18.0,persona,[],yes,100,Persona explicitly states they are a freshman at a university.,18.0,,
184394,A freshman student at Cleveland State University who is eager to deepen his understanding of Middle Eastern Studies and needs to collect various academic resources for his study.,18.0,persona,[],yes,100,Explicitly described as a freshman student at a university,18.0,,
