idx,persona_text,age,source_config,strict_reject_reasons,llm_label,llm_confidence,llm_reason
21697,a middle school student from Uganda,12.0,persona,[],yes,100,explicitly described as a middle school student
43752,a rebellious middle school student who is uninterested in learning about extinct creatures,12.0,persona,[],yes,100,explicitly described as a middle school student
124609,A creative middle schooler who has started a cooking vlog using the new kitchen,12.0,persona,[],yes,100,Persona is explicitly described as a middle schooler
17374,A curious middle school student who is fascinated by rocks and minerals,12.0,persona,[],yes,100,Explicitly described as a middle school student
23313,A middle school student seeking guidance on how to improve their computer skills for school assignments,12.0,persona,[],yes,100,Explicitly described as a middle school student
125060,An aspiring politician in the student council who strongly believes in equal opportunities and representation,,persona,[],yes,90,involvement in student council suggests a secondary school setting
134631,A curious middle school student fascinated by the tales of King Arthur,12.0,persona,[],yes,100,Explicitly described as a middle school student
148450,A shy but imaginative middle schooler who is looking for a captivating adventure novel to read,12.0,persona,[],yes,100,Explicitly described as a middle schooler
173385,A student at Mountain Logan Middle School (MLMS),12.0,persona,[],yes,100,Explicitly mentioned as a middle school student
26653,An ambitious 7th grade student who loves to learn but struggles with dyscalculia,12.0,persona,[],yes,100,7th grade is a typical middle school grade level
36766,an Israeli student attending Stephen Lewis Secondary School,12.0,persona,[],yes,100,attending a secondary school
125281,A middle school student who dislikes mathematics.,12.0,persona,[],yes,100,Explicitly described as a middle school student
191922,A fellow middle school dancer who also wears braces and shares tips and advice on how to maintain oral hygiene and confidence,12.0,persona,[],yes,100,Explicitly described as a middle school student
8382,a 13-year-old middle school student who is neither particularly interested in poetry nor deeply versed on who Annelyse Gelman is.,13.0,persona,[],yes,100,Explicitly described as a 13-year-old middle school student
37896,a South Korean middle school student who is a history nerd,12.0,persona,[],yes,100,explicitly described as a middle school student
104718,A bright and curious middle schooler struggling with reading comprehension,12.0,persona,[],yes,100,Explicitly described as a middle schooler
192817,A creative writing enthusiast in middle school who enjoys crafting stories and sometimes struggles with math homework,12.0,persona,[],yes,100,Explicitly mentioned as being in middle school
