idx,persona_text,age,source_config,strict_reject_reasons,llm_label,llm_confidence,llm_reason
7156,A curious elementary school student who eagerly awaits the next story on their daily bus ride,8.0,persona,[],yes,100,Persona is described as an elementary school student
27701,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,8.0,persona,[],yes,100,Explicitly described as elementary school students
31340,"A young child enrolled in a language immersion program, providing valuable firsthand insights for their research",,persona,[],yes,90,"young child enrolled in a program, likely primary school age"
42259,A classmate of one of the children who looks forward to the bike rides as a fun outing,,persona,[],yes,90,"classmate of a child, implies same age group and educational level"
47829,A natural leader in the class who takes it upon themselves to include the child in conversations and group projects,,persona,[],yes,90,"describes a child's behavior in a class setting, implying primary school level"
59270,A young child who loves playing fetch and taking long walks with their furry companion,,persona,[],yes,80,young child and activities typical of primary school age
61632,"Another young child of Chinese heritage living in China, who can help the child practice their Mandarin skills and learn more about Chinese culture",,persona,[],yes,90,young child
63568,A curious child who loves animals and wants to know everything about them.,,persona,[],yes,80,describes a child with interests typical of a primary school age
67380,A young child captivated by the stories of Hindu deities and eager to learn more,,persona,[],yes,80,young child
70199,A young learner who becomes engaged and motivated through educational games,,persona,[],yes,80,engagement through educational games is typical for primary school age
71102,"A young student with a passion for arts and crafts, who wants to start an after-school club",,persona,[],yes,90,Mention of after-school club implies elementary school level
78005,A bright and curious child who thrives in learning new languages and enjoys creative writing,,persona,[],yes,80,persona describes a child with interests typical of a primary school student
92877,A young child who has experienced abuse and relies on the pediatrician and psychologist for support,,persona,[],yes,80,"young child implies primary school age and reliance on pediatrician and psychologist suggests a child in need of support, consistent with a primary school student"
104664,A bright pupil who excels in math and has started their own mini-bank game for classmates,,persona,[],yes,90,"excels in math and interacts with classmates, indicating a primary school setting"
109567,A young child who dreams of having a pet and looks up to the volunteer as a role model,,persona,[],yes,80,young child implies primary school age
117326,A grade school student who finds solace and inspiration in the author's stories,,persona,[],yes,90,grade school is another term for elementary/primary school
119631,A young child who eagerly watches the shelter segments and dreams of adopting a furry friend,,persona,[],yes,80,young child
121646,I am a curious elementary school student who has just learned about millipedes in science class and is fascinated by all kinds of bugs.,8.0,persona,[],yes,100,Persona explicitly states they are an elementary school student
132956,A young child excited about the new family pet and eager to play and take part in its care,,persona,[],yes,80,young child
136187,"A young child who stops and listens to the street performer every day, dreaming of becoming a Broadway star",,persona,[],yes,90,young child implies primary school age
144282,An elementary school student who looks forward to watching the weather report every day,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student
147945,An elementary school student who shares their favorite pop songs with the principal and asks for recommendations,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student
152281,A young child who eagerly looks forward to going to school and learning new things,,persona,[],yes,90,"The persona describes a young child who is eager to learn, which is consistent with the behavior of a primary school student."
167533,A young child who learns to interact responsibly with dogs and becomes the playmate and source of companionship for the couple's dog,,persona,[],yes,90,young child
174184,A young child who listens with wide-eyed wonder and learns about history and resilience from their stories,,persona,[],yes,90,"young child learning about history and resilience, implies early educational level"
194842,A young student learning about Nelson Mandela's legacy and the fight against apartheid,,persona,[],yes,80,Learning about historical figures is common in primary school curriculum
6312,A curious elementary school student who looks forward to meeting the author and asking questions about their books,8.0,persona,[],yes,100,Persona is described as an elementary school student
7016,A young child who provides feedback and suggestions on playability and fun factor of the toys,,persona,[],yes,90,"young child providing feedback on toys, likely a primary school student"
37289,A young child who loves dressing up their cat in adorable costumes and creating imaginative stories,,persona,[],yes,80,behaviors and interests typical of a young child
47824,A young child who eagerly awaits the storytelling events and sees the retired librarian as their favorite storyteller,,persona,[],yes,90,"The persona is described as a young child, which aligns with the primary school age range."
53871,"A child with a speech disorder, whose progress has been positively impacted by the use of voice recognition technology in therapy",,persona,[],yes,80,"The persona is described as a child, and the context of therapy with voice recognition technology suggests an age range consistent with primary school"
67351,A child with a fear of clowns who overcomes their fear after witnessing the clown's hilarious performance,,persona,[],yes,90,"The persona is described as a child, implying an age range consistent with primary school attendance."
69941,A third-grade student who benefits from the integrated lesson plans and develops a love for reading and writing,,persona,[],yes,100,Third-grade student indicates primary school attendance
77960,A shy and introverted child who learns to open up and build confidence through storytelling and classroom activities,,persona,[],yes,90,"Persona describes a child learning through classroom activities, indicating primary school attendance"
92806,A young child who received a prosthetic limb and is now able to walk and play,,persona,[],yes,80,"young child able to walk and play, implies early developmental stage"
96475,A young child who is eager to help in the kitchen and learn about different types of ingredients,,persona,[],yes,80,"young child eager to help in the kitchen, suggests primary school age"
119552,A curious elementary school student in need of help with math and science homework,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student
127288,A young boy who always joins the reading circles and enjoys storytelling sessions,,persona,[],yes,90,"joins reading circles and storytelling sessions, typical activities for primary school students"
141097,A young child who constantly reminds the project manager of the importance of quality time and being present,,persona,[],yes,80,young child implies primary school age
147759,"A grandchild with a picky palate, challenging the chef to create dishes that appeal to young taste buds",,persona,[],yes,90,"grandchild with young taste buds implies a child, likely in primary school age range"
150806,A 3rd grade biology enthusiast,8.0,persona,[],yes,100,3rd grade is a primary school level
156253,"A young child who collects and cherishes the postcards, dreaming of visiting those places one day",,persona,[],yes,80,young child implies primary school age
157768,A toddler who giggles and dances along to the catchy jingles and stories from children's podcasts,,persona,[],yes,90,Toddler likely attends preschool or kindergarten
166644,A young child who is learning about different types of food and enjoys trying new vegan dishes,,persona,[],yes,90,"young child learning about food, implies early educational level"
170972,"A young child who, after experiencing a traumatic event, finds solace in the firefighters' comforting presence",,persona,[],yes,80,young child implies primary school age
173271,A shy and artistic child who finds solace in expressing her cultural identity through drawings and crafts,,persona,[],yes,90,"The persona describes a child with characteristics typical of a primary school student, such as expressing themselves through drawings and crafts."
181586,A primary school student who eagerly provides input and suggestions for story development,8.0,persona,[],yes,100,Persona is explicitly described as a primary school student
182363,"A young child fascinated by space exploration, constantly asking questions about the materials used in rockets and satellites",,persona,[],yes,90,young child and curiosity level consistent with primary school age
183033,A curious and engaged 5th grader who loves hearing stories about historical figures,,persona,[],yes,100,5th grade is typically part of elementary/primary education
190032,"A young child with a severe stutter, seeking guidance and therapy to improve communication",,persona,[],yes,80,young child implies primary school age and seeking therapy for stuttering
193337,A young child who idolizes the baseball photographer and dreams of becoming a professional photographer in the future,,persona,[],yes,80,young child implies primary school age
199318,A traveler's young child who finds comfort in the air traffic controller's reassuring voice over the intercom,,persona,[],yes,90,"referred to as a 'young child', implying primary school age"
2317,A child from a remote village in a different country who loves learning about different cultures,,persona,[],yes,80,"The persona is described as a child, implying they are likely of primary school age."
11554,A 10-year-old child with autism spectrum disorder who benefits from occupational therapy to improve their motor skills,10.0,persona,[],yes,100,"The persona is a 10-year-old child, which falls within the primary school age range."
12100,A young student participating in educational nature walks organized by the park ranger,,persona,[],yes,80,"participating in educational activities suggests a student, and nature walks are common in primary school"
18540,An imaginative child obsessed with prehistoric animals.,,persona,[],yes,90,"Persona describes a child, likely in primary school due to interest in imaginative topics like prehistoric animals"
22081,A young child who becomes captivated by the immersive sound design in animated films,,persona,[],yes,80,young child
37327,A curious child fascinated by warfare history and eager to learn gardening skills,,persona,[],yes,80,describes a child with interests typical of a primary school age
38455,A child who adores the pet and looks forward to playdates with their cheerful and patient animal-loving aunt/uncle,,persona,[],yes,80,"child persona, no indication of higher education level"
39308,I am a child who just learned about flies in school and is eager to share my newfound knowledge with friends.,,persona,[],yes,90,"The persona mentions learning in school and is described as a child, indicating primary school age."
46859,A dedicated pupil who writes and directs their own plays aiming to debut on the school stage,,persona,[],yes,90,writing and directing plays for the school stage suggests a primary school student
50272,A young child with a speech delay who benefits from using visual aids to support communication,,persona,[],yes,80,"young child with speech delay, likely in primary school age range"
60428,A child who cherishes their stuffed animals and brings them everywhere,,persona,[],yes,80,childlike behavior and attachment to stuffed animals is typical of primary school age
63623,"A shy, introverted child who is initially intimidated by physical activities",,persona,[],yes,80,description of a child with characteristics typical of a primary school student
66480,A young student who writes about their daily school experiences and seeks advice on various subjects,,persona,[],yes,80,"writes about daily school experiences, implies young age"
71840,A hyperactive child who loves fantasy stories and often becomes the protagonist in storytelling events,,persona,[],yes,90,behaviors and interests typical of a primary school age child
72583,A comparative child prodigy who is the defending champion of multiple national spelling bees,,persona,[],yes,90,participating in national spelling bees is typical for elementary school students
