persona_id,idx,source_config,persona_text,age_refined,llm_label,llm_confidence,llm_reason,shard_id,age_heuristic,age,age_refine_confidence,age_refine_reason
persona::78311,78311,persona,A high school student in Terry High School who's been fascinated by choir music since childhood.,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'Terry High School,' which is a concrete school context.",0,16,16,,
persona::78884,78884,persona,A curious high school student who is fascinated by World War II aviation and seeks the teacher's expertise,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references seeking the 'teacher's expertise,' which constitutes a concrete school context involving teachers and classroom interaction.",0,16,16,,
persona::79480,79480,persona,A high school student interested in learning about the history and evolution of local factories,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses interest in learning about the history and evolution of local factories, which implies engagement with a school-related topic or curriculum context.",0,16,16,,
persona::80022,80022,persona,A high school student struggling with psychology who turns to the psychology student for help,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references a struggle with 'psychology' coursework, which constitutes a concrete school context (classes or coursework).",0,16,16,,
persona::80295,80295,persona,A high school junior and debate team captain who advocates for mental health awareness,16,yes,100,"The persona explicitly identifies the individual as a 'high school junior' and mentions being the 'debate team captain,' which is a concrete reference to a school context within a high school environment.",0,16,16,,
persona::80886,80886,persona,A high school student who experiences the effects of racism firsthand and provides valuable insight to the sociologist,16,yes,100,"The persona explicitly identifies as 'a high school student' and provides insight based on personal experiences, which implies current involvement in high school life, fulfilling both mandatory conditions.",0,16,16,,
persona::81254,81254,persona,a high school student who's not very serious about his grades and dislikes excel.,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and includes a reference to 'excel,' which is a common tool used in high school coursework, indicating a concrete school context.",0,16,16,,
persona::81672,81672,persona,An idealistic high school student who aspires to end violence in their school through peer mediation programs,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'peer mediation programs' within the context of their school, indicating current involvement in a school-based initiative.",0,16,16,,
persona::81719,81719,persona,"A politically engaged high school student in Wallingford, Connecticut.",16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and includes the context of being in Wallingford, Connecticut, which implies a specific school environment, thus satisfying both mandatory conditions.",0,16,16,,
persona::82540,82540,persona,A high school student who wants to become an engineer and discusses new discoveries at school during dinner,16,yes,100,"The persona explicitly identifies as 'a high school student' and references 'new discoveries at school', which constitutes a concrete school context involving school life or curriculum.",0,16,16,,
persona::83618,83618,persona,A high school student who benefits from the improved search functionality for studying purposes,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'studying purposes,' which constitutes a concrete school context related to academic activities in a high school setting.",0,16,16,,
persona::84597,84597,persona,A high school student who used to hate Shakespeare but now finds joy and meaning in his works thanks to their educator's innovative teaching approach,16,yes,100,"The persona explicitly identifies as a 'high school student' and references 'their educator's innovative teaching approach,' which constitutes a concrete school context involving a teacher and instructional method within a high school setting.",0,16,16,,
persona::84953,84953,persona,A high school student seeking book recommendations to improve their vocabulary and comprehension,16,yes,100,"The persona explicitly identifies as a 'high school student' and is seeking book recommendations, which implies a current academic context related to improving skills relevant to high school coursework.",0,16,16,,
persona::85196,85196,persona,A high school student who relies on online education due to health concerns and seeks tips on staying motivated,16,yes,100,"The persona explicitly identifies as a 'high school student' and references 'online education' as part of their current academic situation, which constitutes a concrete school context (distance learning within a high school framework).",0,16,16,,
persona::85428,85428,persona,A high school student who enjoys indulging in guilty pleasure fast food meals with friends,16,yes,100,"The persona explicitly identifies as a 'high school student' and references 'meals with friends,' which constitutes a concrete school context involving classmates and social interactions typical of high school life.",0,16,16,,
persona::85782,85782,persona,"An ambitious high school student who excels in math and science, drawing inspiration from her successful older sibling",16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and includes the context of academic excellence in math and science, which is a concrete reference to coursework and school life.",0,16,16,,
persona::85807,85807,persona,A high school student who finds inspiration in the complex characters and storylines of '90s teen dramas,16,yes,100,"The persona explicitly identifies as a 'high school student' and references '90s teen dramas,' which implies a current high school context involving storytelling and character development typical of school life and curriculum.",0,16,16,,
persona::85962,85962,persona,a high school student in West Virginia who is passionate about STEM,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and specifies the location as West Virginia, which provides a concrete school context.",0,16,16,,
